0	5851	0	1
5851	0	1	1
0	8129	2	1
8129	0	3	1
0	10128	2	1
10128	0	3	1
0	13298	2	1
13298	0	3	1
0	18753	4	1
18753	0	5	1
0	20453	4	1
20453	0	5	1
0	16336	4	1
16336	0	5	1
0	16601	4	1
16601	0	5	1
0	16222	4	1
16222	0	5	1
1	5724	0	1
5724	1	1	1
1	10228	2	1
10228	1	3	1
1	11762	2	1
11762	1	3	1
1	9677	2	1
9677	1	3	1
1	14756	4	1
14756	1	5	1
1	17008	4	1
17008	1	5	1
1	18666	4	1
18666	1	5	1
1	16701	4	1
16701	1	5	1
1	14520	4	1
14520	1	5	1
2	6949	0	1
6949	2	1	1
2	8376	2	1
8376	2	3	1
2	12340	2	1
12340	2	3	1
2	12744	2	1
12744	2	3	1
2	20223	4	1
20223	2	5	1
2	13706	4	1
13706	2	5	1
2	13826	4	1
13826	2	5	1
2	18014	4	1
18014	2	5	1
2	15565	4	1
15565	2	5	1
3	5303	0	1
5303	3	1	1
3	13065	2	1
13065	3	3	1
3	8354	2	1
8354	3	3	1
3	10294	2	1
10294	3	3	1
3	16919	4	1
16919	3	5	1
3	16576	4	1
16576	3	5	1
3	14427	4	1
14427	3	5	1
3	17582	4	1
17582	3	5	1
3	19909	4	1
19909	3	5	1
4	5530	0	1
5530	4	1	1
4	8903	2	1
8903	4	3	1
4	12232	2	1
12232	4	3	1
5	5029	0	1
5029	5	1	1
5	8652	2	1
8652	5	3	1
5	12452	2	1
12452	5	3	1
5	11993	2	1
11993	5	3	1
5	19601	4	1
19601	5	5	1
5	16280	4	1
16280	5	5	1
5	16468	4	1
16468	5	5	1
5	17243	4	1
17243	5	5	1
5	20095	4	1
20095	5	5	1
6	6952	0	1
6952	6	1	1
6	9669	2	1
9669	6	3	1
6	9762	2	1
9762	6	3	1
6	10648	2	1
10648	6	3	1
6	14977	4	1
14977	6	5	1
6	20955	4	1
20955	6	5	1
6	13972	4	1
13972	6	5	1
6	13708	4	1
13708	6	5	1
6	17867	4	1
17867	6	5	1
7	6574	0	1
6574	7	1	1
7	7995	2	1
7995	7	3	1
7	8887	2	1
8887	7	3	1
7	10991	2	1
10991	7	3	1
7	15943	4	1
15943	7	5	1
7	21214	4	1
21214	7	5	1
7	20531	4	1
20531	7	5	1
7	13474	4	1
13474	7	5	1
7	16410	4	1
16410	7	5	1
8	6146	0	1
6146	8	1	1
8	8330	2	1
8330	8	3	1
8	12245	2	1
12245	8	3	1
8	12518	2	1
12518	8	3	1
8	18725	4	1
18725	8	5	1
8	18466	4	1
18466	8	5	1
8	19793	4	1
19793	8	5	1
8	20217	4	1
20217	8	5	1
8	13689	4	1
13689	8	5	1
9	5479	0	1
5479	9	1	1
9	7440	2	1
7440	9	3	1
9	8597	2	1
8597	9	3	1
9	12379	2	1
12379	9	3	1
9	19661	4	1
19661	9	5	1
9	16825	4	1
16825	9	5	1
9	14082	4	1
14082	9	5	1
9	20457	4	1
20457	9	5	1
9	16481	4	1
16481	9	5	1
10	7315	0	1
7315	10	1	1
10	9544	2	1
9544	10	3	1
10	10741	2	1
10741	10	3	1
10	7432	2	1
7432	10	3	1
10	18466	4	1
18466	10	5	1
10	18533	4	1
18533	10	5	1
10	18564	4	1
18564	10	5	1
10	13689	4	1
13689	10	5	1
10	17395	4	1
17395	10	5	1
11	5209	0	1
5209	11	1	1
11	10603	2	1
10603	11	3	1
11	11138	2	1
11138	11	3	1
11	9235	2	1
9235	11	3	1
11	15184	4	1
15184	11	5	1
11	20205	4	1
20205	11	5	1
11	14808	4	1
14808	11	5	1
11	15371	4	1
15371	11	5	1
11	14530	4	1
14530	11	5	1
12	6354	0	1
6354	12	1	1
12	9375	2	1
9375	12	3	1
12	11194	2	1
11194	12	3	1
12	12340	2	1
12340	12	3	1
12	14371	4	1
14371	12	5	1
12	15405	4	1
15405	12	5	1
12	21388	4	1
21388	12	5	1
12	15680	4	1
15680	12	5	1
12	21070	4	1
21070	12	5	1
13	5724	0	1
5724	13	1	1
13	10228	2	1
10228	13	3	1
13	11762	2	1
11762	13	3	1
13	9677	2	1
9677	13	3	1
13	19763	4	1
19763	13	5	1
13	20991	4	1
20991	13	5	1
13	14872	4	1
14872	13	5	1
13	13711	4	1
13711	13	5	1
13	21373	4	1
21373	13	5	1
14	5724	0	1
5724	14	1	1
14	10228	2	1
10228	14	3	1
14	12389	2	1
12389	14	3	1
14	13080	2	1
13080	14	3	1
14	18740	4	1
18740	14	5	1
14	16540	4	1
16540	14	5	1
14	20838	4	1
20838	14	5	1
14	14716	4	1
14716	14	5	1
14	17916	4	1
17916	14	5	1
15	7315	0	1
7315	15	1	1
15	9544	2	1
9544	15	3	1
15	8392	2	1
8392	15	3	1
15	9507	2	1
9507	15	3	1
15	18466	4	1
18466	15	5	1
15	17873	4	1
17873	15	5	1
15	17666	4	1
17666	15	5	1
15	17009	4	1
17009	15	5	1
15	16451	4	1
16451	15	5	1
16	5014	0	1
5014	16	1	1
16	11919	2	1
11919	16	3	1
16	11982	2	1
11982	16	3	1
16	8562	2	1
8562	16	3	1
16	16246	4	1
16246	16	5	1
16	20109	4	1
20109	16	5	1
16	18688	4	1
18688	16	5	1
16	20701	4	1
20701	16	5	1
16	18938	4	1
18938	16	5	1
17	6146	0	1
6146	17	1	1
17	8330	2	1
8330	17	3	1
17	12245	2	1
12245	17	3	1
17	12518	2	1
12518	17	3	1
17	19796	4	1
19796	17	5	1
17	13983	4	1
13983	17	5	1
17	18780	4	1
18780	17	5	1
17	17965	4	1
17965	17	5	1
17	17529	4	1
17529	17	5	1
18	6839	0	1
6839	18	1	1
18	10228	2	1
10228	18	3	1
18	12430	2	1
12430	18	3	1
18	12756	2	1
12756	18	3	1
18	14154	4	1
14154	18	5	1
18	18975	4	1
18975	18	5	1
18	16701	4	1
16701	18	5	1
18	21070	4	1
21070	18	5	1
18	17529	4	1
17529	18	5	1
19	5099	0	1
5099	19	1	1
19	13314	2	1
13314	19	3	1
19	11421	2	1
11421	19	3	1
19	11670	2	1
11670	19	3	1
19	19601	4	1
19601	19	5	1
19	17942	4	1
17942	19	5	1
19	20165	4	1
20165	19	5	1
19	18079	4	1
18079	19	5	1
19	20175	4	1
20175	19	5	1
20	6713	0	1
6713	20	1	1
20	7408	2	1
7408	20	3	1
20	7352	2	1
7352	20	3	1
20	9780	2	1
9780	20	3	1
20	21004	4	1
21004	20	5	1
20	15284	4	1
15284	20	5	1
20	18299	4	1
18299	20	5	1
20	19989	4	1
19989	20	5	1
20	17121	4	1
17121	20	5	1
21	6358	0	1
6358	21	1	1
21	9067	2	1
9067	21	3	1
21	7622	2	1
7622	21	3	1
21	8347	2	1
8347	21	3	1
21	19560	4	1
19560	21	5	1
21	18682	4	1
18682	21	5	1
21	19489	4	1
19489	21	5	1
21	20955	4	1
20955	21	5	1
21	18575	4	1
18575	21	5	1
