1919	Unaccompanied_Minors	0	2,0
4635	Groove	0	4
3687	The_Forsaken	0	1
1662	Splice	0	4
4040	The_Deported	0	2
745	Up_Close_&_Personal	0	4,0
3182	The_Oxford_Murders	0	1
3123	Run,_Fatboy,_Run	0	2,0
1776	Joyful_Noise	0	2
3107	Sleepover	0	2,0
493	Timeline	0	3
3009	The_Molly_Maguires	0	4
2127	Disturbia	0	4,1
3768	Fast_Times_at_Ridgemont_High	0	2,4
2425	Red_Sonja	0	3
651	Step_Brothers	0	2
189	Bad_Boys_II	0	3,2,1
774	Mercury_Rising	0	3,4,1
4518	ZMD:_Zombies_of_Mass_Destruction	0	2
2165	This_Is_Where_I_Leave_You	0	2,4
4914	All_Superheroes_Must_Die	0	1
1686	The_Good_Thief	0	3,4,0,1
629	Mystery_Men	0	3,2
1461	American_Outlaws	0	3
3200	Next_Friday	0	2
3390	Ta_Ra_Rum_Pum	0	2,0
1768	Notes_on_a_Scandal	0	4,0,1
3247	Velvet_Goldmine	0	4
4689	Napoleon_Dynamite	0	2
3135	The_House_of_Mirth	0	4,0
4263	Nowhere_Boy	0	4
1439	Hoffa	0	4
2182	The_Bank_Job	0	4,0,1
2272	Birth	0	4,0,1
3383	Masked_and_Anonymous	0	2,4
4030	The_Gambler	0	4,1
4535	And_Then_Came_Love	0	2,0
3445	Auto_Focus	0	4
2785	Dude,_Where's_My_Car?	0	2
3345	Begin_Again	0	4
2167	Team_America:_World_Police	0	3,2
479	The_Legend_of_Zorro	0	3
4598	Adulterers	0	4,1
2138	Edward_Scissorhands	0	0
2663	Post_Grad	0	2,0
1356	Blue_Streak	0	3,2,1
1852	Bridget_Jones's_Diary	0	2,4,0
1359	Breakdown	0	3,4,1
262	Allegiant	0	3,1
2724	Good_Deeds	0	2,4,0
561	Fool's_Gold	0	3,2,0,1
2697	Automata	0	3,1
3351	Fido	0	2,4
2905	Young_Adult	0	2,4
779	xXx:_State_of_the_Union	0	3,1
4597	Hav_Plenty	0	2
