2677	Yasuhiro Fujiwara	0	1
759	Hui Li	0	2
3833	M. Rathgeb	0	3
3565	Leejay Wu	0	1
3778	Leon Wong	0	3
1039	Jia-Huai You	0	2
107	Sheau-Dong Lang	0	3
1404	C. Mohan	0	0
2661	Jarek Gryz	0	0
2620	Qian Diao	0	3
862	William Pentney	0	2
1945	Viet Phan Luong	0	0
2462	Judith Winter	0	3
975	Yabo Xu	0	1
813	Michael D. Moffitt	0	2
3368	Gilbert Falk	0	2
2465	Meishan Hu	0	3
2940	Linan Jiang	0	0
659	John F. Horty	0	2
3696	Donald Owen Case	0	3
1794	R. Thompson	0	3
2881	Guomao Xin	0	3
1456	Torben Bach Pedersen	0	0
3592	Flavia Moser	0	1
2618	John L. Schnase	0	0
3052	Henry Haining Zhang	0	1
1384	Christopher B. Jones	0	3
1714	Piotr Indyk	0	1
1979	Sitaram Asur	0	1
2527	Martin Staudt	0	0
4034	D. N. Kamber	0	0
2162	Howard Wong-Toi	0	3
2365	Bin Lan	0	1
627	Gail Haddock	0	2
3747	Masahiro Kajiura	0	3
1194	Wen-Hsiang Lu	0	3
2266	Garret Swart	0	0
2537	Cheng-ming Guo	0	2
1635	Masato Oguchi	0	0
3344	D. E. Okhotsimsky	0	2
3138	David Wilhite	0	0
427	Adrian Silvescu	0	1
3932	Sherri Kennamer	0	0
24	Heng Huang	0	1
1796	Ron McFadyen	0	0
2587	Jack Tan	0	0
930	Mallory Selfridge	0	2
2472	Toon Calders	0	1
3546	Arno J. Knobbe	0	1
3884	Xiaobing Xue	0	3
2504	Giorgio Maria Di Nunzio	0	3
1349	Jiuyong Li	0	1
4030	L. O. Brooks	0	0
775	Charles X. Ling	0	2
2895	Koen Vanhoof	0	1
882	Filip Radlinski	0	3
431	Mark James Carman	0	2
2849	Ian T. Nabney	0	1
3209	Chaitanya Mishra	0	0
518	Parag Singla	0	2
1763	Steven Schockaert	0	3
372	Sooraj Bhat	0	2
933	Dafna Shahaf	0	2
260	Susumu Horiguchi	0	1
1882	Shengquan Wang	0	1
3697	Charles T. Meadow	0	3
3896	J. Srinivasan	0	0
383	Andrew McCallum	0	2
677	Satinder P. Singh	0	2
3641	Jun Sese	0	1
2051	Francesco Antonacci	0	0
1944	Guillaume Raschia	0	0
3234	Nicholas E. Taylor	0	0
1517	Fausto Rabitti	0	0
584	Barbara J. Grosz	0	2
2165	Krishnamoorthy Sivakumar	0	1
1331	Daniela Florescu	0	0
4029	M. Muraszkiewicz	0	0
2523	K. Sundar Das	0	0
3782	Joel C. Miller	0	3
2680	Badrish Chandramouli	0	0
523	Thomas Drakengren	0	2
3885	Ben Fei	0	3
1132	Xiaoou Tang	0	2
3443	Perry W. Thorndyke	0	2
2294	Jing Bai	0	3
2030	Stephen McKearney	0	1
227	Jun Zhu	0	1
3010	Artur M. Arsenio	0	2
1223	Naomi Inoue	0	3
2669	Jane W.-S. Liu	0	0
2183	Vijayalakshmi Atluri	0	0
2658	Rachid Alami	0	2
467	Yoram Singer	0	2
3639	Ching-Pin Kao	0	1
3997	Roland Dahl	0	0
362	Anthony J. Bonner	0	0
1417	Xiaochun Yang	0	0
1118	Songcan Chen	0	1
3956	Gayatri Sathe	0	1
799	Subramani Mani	0	1
2890	Zuobing Xu	0	3
3140	Jeffrey Considine	0	0
62	Maxine Frank	0	3
2354	Joon Ho Lee	0	3
714	Larry A. Rendell	0	2
3342	Yutaka Kanayama	0	2
1501	Ting Chen	0	0
1906	Alexandra Poulovassilis	0	0
1271	Songbo Tan	0	3
3263	Wonsuk Lee	0	1
3104	M. W. Du	0	0
2567	Wayne Hineman	0	0
1860	Soyeon Park	0	3
3123	Gennady Antoshenkov	0	0
984	Nitin Indurkhya	0	1
3929	Pratap Khedkar	0	0
634	Daniel T. Halstead	0	2
2389	Yves Petinot	0	3
1091	Maria Luisa Bonet	0	2
3631	R. Ramakrishnan	0	0
46	Matthew Chalmers	0	3
638	Jeffrey O. Kephart	0	2
3852	Hongkuk An	0	3
3043	Nicole Schneider	0	0
589	Artur S. d'Avila Garcez	0	2
506	Keiji Kanazawa	0	2
3267	Cheong Hee Park	0	1
1977	Henrique Paques	0	0
2374	Sin Yeung Lee	0	0
323	Eric B. Baum	0	2
2972	Alfonso F. Cardenas	0	0
3610	Steven Loscalzo	0	1
756	Anand Rajaraman	0	0
2643	Michael Nelson	0	3
1663	Jason Wolfe	0	2
1621	Michael Fisher	0	2
2469	Maria Satratzemi	0	3
1140	Rod M. Burstall	0	2
3294	Srivatsan Laxman	0	1
3815	Sakari Hokkanen	0	3
3065	Carolyn J. Crouch	0	3
397	Manuela M. Veloso	0	2
112	Lei Zhang	0	3
549	Dedre Gentner	0	2
3163	Rui Zhang 0003	0	0
1985	Murali Ramanathan	0	1
2421	Hua Lu	0	0
3738	Gianluca Garbolino	0	3
2579	Tak W. Yan	0	0
3212	Govind Kabra	0	0
197	Yong Yu	0	3
2573	Srinivasan Seshan	0	0
1638	Simon Sheu	0	1
1151	Gerald J. Popek	0	0
2801	Thomas M. Mann	0	3
3628	Hejun Wu	0	0
3497	Xiaoya Tang	0	3
246	Milind Tambe	0	2
447	Yun-Gyung Cheong	0	2
1430	Michel A. Melkanoff	0	0
3552	Yulan Liang	0	1
997	Tanzeem Choudhury	0	2
1443	Sang-goo Lee	0	3
2929	Danette Chimenti	0	0
2038	G. C. H. Sharman	0	0
2860	Jeremy Forth	0	2
3081	Ella Bingham	0	1
2335	Fernando A. Das Neves	0	3
3207	Robert A. Yost	0	0
3922	Leo R. Gotlieb	0	0
3096	Paul Mermelstein	0	2
1097	Christopher Kiekintveld	0	2
2817	Shlomo Hershkop	0	1
2948	Julia Stoyanovich	0	0
1040	Guillermo Ricardo Simari	0	2
2214	William J. McIver Jr.	0	0
3802	Hong-Pao Shi	0	3
441	Eugene Charniak	0	2
230	Jin-Kao Hao	0	2
3944	Qiuhui Yuan	0	0
576	Peter Friedland	0	2
2836	Norman Salazar	0	0
3952	Robert L. Rappaport	0	0
350	Malcolm C. Harrison	0	2
3020	Sakti P. Ghosh	0	0
3067	Gordon J. Ferguson	0	3
647	Joseph L. Hellerstein	0	1
1828	Rong Liu	0	1
963	Snehal Thakkar	0	2
18	Takashi Matsuyama	0	2
1238	Vijay Krishnan	0	3
3776	Paul Oh	0	3
2434	Sridhar Rajagopalan	0	3
1964	Bernd Walter	0	0
237	Avraham Leff	0	0
2138	Brian Dunkel	0	0
2608	Sandra Poulain	0	3
2512	Ray R. Larson	0	3
1047	Jerry R. Hobbs	0	2
2535	Seymour Ginsburg	0	0
2816	Daoying Ma	0	1
3359	Paul Chitson	0	3
332	Delbert D. Bailey	0	2
2901	Steffen Bickel	0	2
3142	Khuzaima Daudjee	0	0
3203	Varun Kacholia	0	0
3174	Michael D. Morse	0	1
449	David Maxwell Chickering	0	2
3162	Hisashi Kashima	0	1
270	Rens Bod	0	2
1376	Sara Cohen	0	0
1451	Mukesh K. Mohania	0	0
493	Alex Rogers	0	2
3028	N. Natarajan	0	0
1400	Yannis E. Ioannidis	0	0
2516	Laurianne Sitbon	0	3
3825	Tim Sibley	0	3
895	Sheng Ma	0	1
1034	Timothy Baldwin	0	2
94	Robin Cohen	0	2
3492	Bhuvana Ramabhadran	0	3
2578	Frank E. Levine	0	0
1891	Bernhard Pfahringer	0	1
2701	Nurcan Yuruk	0	1
192	Manuel Rodriguez-Martinez	0	0
2001	Peter Jansen	0	3
1060	Pascal Hitzler	0	2
591	Alan Garvey	0	2
3529	Clark Glymour	0	1
2491	Jung-Hwan Oh	0	0
819	Attilio Giordana	0	2
1925	Emmanuel Waller	0	0
3988	Adam Blum	0	0
1879	Kenichi Takahashi	0	1
1995	Zengjian Hu	0	1
2045	Michael Gillmann	0	0
3407	Albrecht Heeffer	0	2
2616	Bruce I. Blum	0	0
3177	Nipun Agarwal	0	0
2867	Leonard Uhr	0	2
3770	Terry Noreault	0	3
3278	Hassan H. Malik	0	1
2304	Anthony Kosky	0	0
2068	Xiaowei Xu	0	1
2121	Valeria De Antonellis	0	0
1918	Philippe Pucheral	0	0
3646	Evan Hoke	0	0
1254	Rebecca N. Wright	0	1
2272	Robert Savell	0	3
3769	Ming-Jer Lee	0	3
4031	M. C. White	0	0
2987	Sam Chapman	0	3
3571	J. Sunil Rao	0	1
535	Edward M. Riseman	0	2
723	Jack Minker	0	0
3151	Prasanna Padmanabhan	0	0
1528	Utpal Garain	0	3
1375	Julie Basu	0	0
2057	Dirk Van Gucht	0	0
866	Gerald E. Peterson	0	2
1205	James Davidson	0	0
1408	Guido Proietti	0	1
2989	Kenji Itoh	0	0
2049	Gerhard Knorz	0	3
1231	Jong-Hyeok Lee	0	3
1694	David Scot Taylor	0	0
2841	Eunyee Koh	0	3
55	Roger King	0	0
1248	Tadashi Nomoto	0	3
2343	Elizabeth Shriver	0	3
2831	Martin Nilsson	0	2
184	Hanpei Koike	0	0
166	Junqiang Liu	0	1
3989	Rune Humborstad	0	0
338	Scott Davies	0	2
1742	Stefano Berretti	0	3
3732	Mirja Iivonen	0	3
3186	Karen L. Ruoff	0	0
1480	Kothuri Venkata Ravi Kanth	0	0
1947	Thomas Brinkhoff	0	0
1584	Hamad Alhammady	0	1
3305	Mandar Rahurkar	0	3
1707	Avrim Blum	0	2
1697	Gonzalo Navarro	0	3
2655	Andrew Moore	0	1
1553	Franco Turini	0	1
37	Nan Zhang	0	1
4045	B. Sreenath	0	0
2978	Arthur Flexer	0	1
3642	Jia-bing R. Cheng	0	0
177	Pedro Cano	0	3
290	Alvaro del Val	0	2
983	Robert S. Galen	0	2
3814	Patrick Cahan	0	3
3422	Jan A. Mulder	0	2
1521	Alex Alves Freitas	0	1
2911	Gemma C. Garriga	0	1
1933	Luc Segoufin	0	0
3564	Clare Giardina	0	1
2087	Dirk Wodtke	0	0
865	Olivier Spanjaard	0	2
938	Aaron Sloman	0	2
3703	Schy Chiou	0	3
2850	Eitan Farchi	0	3
3434	Earl D. Sacerdoti	0	2
233	Anand Ranganathan	0	0
1570	Xiangji Huang	0	3
3530	Sathyakama Sandilya	0	1
1907	Eben M. Haber	0	0
880	David A. Bell	0	1
1732	Lluis Godo	0	2
86	Li Ding	0	3
4017	Ebbe Nielsen	0	0
3410	John Perry	0	2
1422	Stephen J. Hegner	0	0
2117	Georgy L. Gimel'farb	0	2
255	Martine De Cock	0	3
3765	Tung-Ho Wu	0	3
2153	G. N. Paulley	0	0
2528	Heinz Uphoff	0	0
3665	Dalia Motzkin	0	3
405	Robert Sim	0	2
2976	Patricia Frontiera	0	3
3374	Keizo Sato	0	3
1858	Honesty C. Young	0	0
4036	Blake Patterson	0	0
2773	Tamas E. Doszkocs	0	3
3235	Linfeng Zhang	0	0
3284	Zhouxuan Teng	0	1
318	Craig Boutilier	0	2
525	Maheshkumar Sabhnani	0	1
1273	Jimmy Lin	0	3
3645	Anders Torvill Bjorvand	0	1
3303	Kunio Kashino	0	2
3276	Zhiqiang Zheng	0	1
2735	Edward Sciore	0	0
1137	Francis Y. L. Chin	0	1
3155	Bruce M. Horowitz	0	0
2813	Alan F. Karr	0	1
3071	Rita C. Summers	0	0
857	Lushan Han	0	3
2134	Norman May	0	0
2670	Maurice van Keulen	0	0
3760	Jack E. Shemer	0	3
278	Margot Flowers	0	2
1478	Giuseppe Santucci	0	0
220	Brian F. Cooper	0	0
3867	Theodore Kalamboukis	0	3
3981	Olga Peschansky	0	0
4002	Nurith Gal-Oz	0	0
1070	Philip Zigoris	0	3
2302	Bruce R. Schatz	0	3
114	Xin Xu	0	1
3712	Yubin Dai	0	3
2600	Markus Hegland	0	1
3270	Huseyin Polat	0	1
